phase,dataset,algorithm,variant,seed,metric,variant_value,baseline_value,delta_vs_baseline
smoke,paul15_bone_marrow,scMAE,full_kmeans_triplet,42,RareACC,0.3529411764705882,0.355119825708061,-0.002178649237472796
smoke,paul15_bone_marrow,scMAE,full_kmeans_triplet,42,Silhouette,0.5037248134613037,0.0852846354246139,0.4184401780366898
smoke,paul15_bone_marrow,scMAE,full_kmeans_triplet,42,runtime,86.91411828994751,11.843692779541016,75.0704255104065
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans_triplet,42,NMI,0.4772278130616657,0.5287425335672497,-0.05151472050558398
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans_triplet,42,ARI,0.2653442033023399,0.2811568461961214,-0.015812642893781537
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans_triplet,42,ACC,0.3347985347985348,0.4168498168498168,-0.08205128205128204
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans_triplet,42,F1_Macro,0.1922421178869205,0.3691721336151861,-0.17693001572826558
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans_triplet,42,BalancedACC,0.2166206715630082,0.3996199980006636,-0.1829993264376554
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans_triplet,42,RareACC,0.1067538126361655,0.2875816993464052,-0.1808278867102397
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans_triplet,42,Silhouette,0.2154493893495337,0.2761974042488919,-0.06074801489935819
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans_triplet,42,runtime,451.616770029068,155.61972784996033,295.99704217910767
smoke,paul15_bone_marrow,DESC,full_kmeans_triplet,42,NMI,0.495558520066896,0.5343086180283043,-0.038750097961408325
smoke,paul15_bone_marrow,DESC,full_kmeans_triplet,42,ARI,0.267400451426075,0.2891666483257258,-0.021766196899650814
smoke,paul15_bone_marrow,DESC,full_kmeans_triplet,42,ACC,0.3487179487179487,0.3626373626373626,-0.013919413919413925
smoke,paul15_bone_marrow,DESC,full_kmeans_triplet,42,F1_Macro,0.1604444547392305,0.2051227935153836,-0.0446783387761531
smoke,paul15_bone_marrow,DESC,full_kmeans_triplet,42,BalancedACC,0.2349101880895221,0.2932857238921653,-0.05837553580264318
smoke,paul15_bone_marrow,DESC,full_kmeans_triplet,42,RareACC,0.1263616557734204,0.130718954248366,-0.004357298474945592
smoke,paul15_bone_marrow,DESC,full_kmeans_triplet,42,Silhouette,0.3650827407836914,0.143450453877449,0.2216322869062424
